SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1030 Adelaine Ave,South Pasadena,CA,91030,2695000,4,3.5,658 - So. Pasadena,2291,7302,1948,1,1176,,Active,March-14-2026 02:00 PM,March-14-2026 04:00 PM,https://www.redfin.com/CA/South-Pasadena/1030-Adelaine-Ave-91030/home/7004639,CRMLS,P1-26204,N,Y,34.1132061,-118.1621086
MLS Listing,,Townhouse,618 Garfield Ave,South Pasadena,CA,91030,1390000,3,2.5,Not Applicable,1698,153897,1975,1,819,712,Active,March-12-2026 10:00 AM,March-12-2026 02:00 PM,https://www.redfin.com/CA/South-Pasadena/618-Garfield-Ave-91030/home/7011023,CRMLS,P1-26199,N,Y,34.1201331,-118.1439588
MLS Listing,,Single Family Residential,203 Oaklawn Ave,South Pasadena,CA,91030,3800000,6,6.0,658 - So. Pasadena,5622,13600,1912,7,676,,Active,March-14-2026 02:00 PM,March-14-2026 04:00 PM,https://www.redfin.com/CA/South-Pasadena/203-Oaklawn-Ave-91030/home/7005822,CRMLS,P1-26095,N,Y,34.1238076,-118.1533584
MLS Listing,,Single Family Residential,823 Oneonta,South Pasadena,CA,91030,1588000,4,3.0,658 - So. Pasadena,1868,3146,2007,8,850,,Active,March-14-2026 01:00 PM,March-14-2026 04:00 PM,https://www.redfin.com/CA/South-Pasadena/823-Oneonta-Dr-91030/home/17242658,CRMLS,TR26047167,N,Y,34.1031445,-118.1599315
MLS Listing,,Single Family Residential,2025 Maycrest Ave,South Pasadena,CA,91030,1399000,3,2.0,South Pasadena,1176,7470,1946,8,1190,,Active,,,https://www.redfin.com/CA/South-Pasadena/2025-Maycrest-Ave-91030/home/7003028,TheMLS,26659333,N,Y,34.0997055,-118.161763
MLS Listing,,Vacant Land,1818 Peterson Ave,South Pasadena,CA,91030,650000,,,658 - So. Pasadena,,3734,,8,,,Active,,,https://www.redfin.com/CA/South-Pasadena/1818-Peterson-Ave-91030/home/194170389,CRMLS,CV26046440,N,Y,34.1038179,-118.173994
MLS Listing,,Single Family Residential,838 Braewood Ct,South Pasadena,CA,91030,3338800,4,4.5,658 - So. Pasadena,4514,12482,2008,9,740,227,Active,,,https://www.redfin.com/CA/South-Pasadena/838-Braewood-Ct-91030/home/21925391,CRMLS,AR26046103,N,Y,34.1061455,-118.1581804
MLS Listing,,Single Family Residential,1500 Oxley St,South Pasadena,CA,91030,2250000,3,2.0,658 - So. Pasadena,2196,9621,1904,9,1025,,Active,,,https://www.redfin.com/CA/South-Pasadena/1500-Oxley-St-91030/home/7005185,CRMLS,P1-26058,N,Y,34.1140483,-118.1515247
MLS Listing,,Condo/Co-op,305 Raymondale Dr Unit L,South Pasadena,CA,91030,650000,2,1.0,658 - So. Pasadena,1006,27391,1954,10,646,720,Pre On-Market,,,https://www.redfin.com/CA/South-Pasadena/305-Raymondale-Dr-91030/unit-L/home/7005933,CRMLS,AR26040254,N,Y,34.12238,-118.148701
MLS Listing,,Single Family Residential,127 South Ln,South Pasadena,CA,91030,1659000,2,2.0,658 - So. Pasadena,1269,7237,1948,12,1307,,Pre On-Market,,,https://www.redfin.com/CA/South-Pasadena/127-South-Ln-91030/home/7003457,CRMLS,P1-26033,N,Y,34.1059233,-118.1753261
MLS Listing,,Single Family Residential,1716 Bushnell Ave,South Pasadena,CA,91030,1550000,3,2.0,658 - So. Pasadena,1463,7500,1922,15,1059,,Pre On-Market,,,https://www.redfin.com/CA/South-Pasadena/1716-Bushnell-Ave-91030/home/7008575,CRMLS,P1-25992,N,Y,34.1059934,-118.1409547
MLS Listing,,Multi-Family (2-4 Unit),500 Mound Ave,South Pasadena,CA,91030,2200000,7,6.0,Not Applicable,4560,10046,1921,26,482,,Active,,,https://www.redfin.com/CA/South-Pasadena/500-Mound-Ave-91030/home/7005896,CRMLS,P1-25851,N,Y,34.1196996,-118.1510725
MLS Listing,,Condo/Co-op,1010 Sycamore Ave #120,South Pasadena,CA,91030,833000,1,1.0,658 - So. Pasadena,1150,101608,2006,28,724,369,Active,March-15-2026 10:00 AM,March-15-2026 01:00 PM,https://www.redfin.com/CA/South-Pasadena/1010-Sycamore-Ave-91030/unit-120/home/12289404,CRMLS,IG26028310,N,Y,34.1112908,-118.1746995
MLS Listing,,Condo/Co-op,1720 Mission St #7,South Pasadena,CA,91030,699000,2,1.0,658 - So. Pasadena,1016,,1976,28,688,562,Active,,,https://www.redfin.com/CA/South-Pasadena/1720-Mission-St-91030/unit-7/home/7006632,CRMLS,P1-25818,N,Y,34.1157776,-118.1481212
MLS Listing,,Vacant Land,801 Rollin St,South Pasadena,CA,91030,999000,,,658 - So. Pasadena,,15083,,30,,,Active,,,https://www.redfin.com/CA/South-Pasadena/801-Collin-St-91030/home/22504981,CRMLS,PF26029915,N,Y,34.107249,-118.15952
MLS Listing,,Condo/Co-op,130 Monterey Rd #205,South Pasadena,CA,91030,838000,2,2.0,658 - So. Pasadena,1175,,1981,33,713,625,Active,,,https://www.redfin.com/CA/South-Pasadena/130-Monterey-Rd-91030/unit-205/home/7003336,CRMLS,P1-25766,N,Y,34.110147,-118.175911
MLS Listing,,Single Family Residential,233 Hillside Rd,South Pasadena,CA,91030,7725000,5,6.5,658 - So. Pasadena,7000,20145,1929,37,1104,,Active,,,https://www.redfin.com/CA/South-Pasadena/233-Hillside-Rd-91030/home/7006114,CRMLS,P1-25675,N,Y,34.1230658,-118.1594629
MLS Listing,,Single Family Residential,1112 Glendon,South Pasadena,CA,91030,2900000,3,2.0,658 - So. Pasadena,2452,8303,1919,40,1183,,Active,,,https://www.redfin.com/CA/South-Pasadena/1112-Glendon-Ct-91030/home/7005566,CRMLS,CV26022381,N,Y,34.1133449,-118.1591738
MLS Listing,,Vacant Land,815 Freemont Ave,South Pasadena,CA,91030,12880000,,,658 - So. Pasadena,,35469,,43,,,Active,,,https://www.redfin.com/CA/South-Pasadena/815-Fremont-Ave-91030/home/200228344,CRMLS,AR26019743,N,Y,34.1160337,-118.1533947
MLS Listing,,Single Family Residential,2076 Hanscom Dr,South Pasadena,CA,91030,1599000,6,5.5,658 - So. Pasadena,4075,6154,1982,48,392,,Active,March-12-2026 11:00 AM,March-12-2026 02:00 PM,https://www.redfin.com/CA/South-Pasadena/2076-Hanscom-Dr-91030/home/7001955,CRMLS,SB26011295,N,Y,34.0999029,-118.1746259
MLS Listing,,Single Family Residential,1231 Blair Ave,South Pasadena,CA,91030,3990000,5,3.0,658 - So. Pasadena,4482,13363,1980,57,890,,Active,,,https://www.redfin.com/CA/South-Pasadena/1231-Blair-Ave-91030/home/108943313,CRMLS,P1-25419,N,Y,34.107642,-118.1736068
